station,valid,lon,lat,tmpc,dwpc,drct,sknt,mslp,vsby,gust,wxcodes,peak_wind_gust
FRM,2019-02-24 00:00,-94.4156,43.6439,M,M,360.00,18.00,M,0.25,M,+SN FZFG,M
HIB,2019-02-24 00:00,-92.8390,47.3866,M,M,0.00,0.00,M,6.00,M,BR,M
MSP,2019-02-24 00:00,-93.2313,44.8854,M,M,30.00,8.00,M,6.00,M,HZ,M
FCM,2019-02-24 00:00,-93.4700,44.8300,M,M,10.00,7.00,M,5.00,M,BR,M
STC,2019-02-24 00:00,-94.0513,45.5433,M,M,360.00,5.00,M,4.00,M,BR,M
RST,2019-02-24 00:00,-92.4916,43.9041,M,M,30.00,16.00,M,1.75,M,FZRA BR,M
BRD,2019-02-24 00:00,-94.1308,46.4047,M,M,10.00,4.00,M,6.00,M,HZ,M
STP,2019-02-24 00:00,-93.0600,44.9345,M,M,10.00,10.00,M,7.00,M,M,M
DLH,2019-02-24 00:00,-92.1936,46.8421,M,M,60.00,10.00,M,4.00,M,BR,M
AXN,2019-02-24 00:00,-95.3947,45.8663,M,M,330.00,8.00,M,5.00,M,HZ,M
MKT,2019-02-24 00:00,-93.9200,44.2200,M,M,10.00,13.00,M,1.75,M,BR,M
INL,2019-02-24 00:00,-93.3981,48.5614,M,M,300.00,3.00,M,10.00,M,M,M
BDE,2019-02-24 00:00,-94.6122,48.7284,M,M,340.00,5.00,M,10.00,M,M,M
OTG,2019-02-24 00:00,-95.5792,43.6551,M,M,350.00,21.00,M,0.75,M,-SN BR,M
TVF,2019-02-24 00:00,-96.1850,48.0657,M,M,330.00,8.00,M,4.00,M,BR,M
PKD,2019-02-24 00:00,-95.0700,46.9000,M,M,330.00,6.00,M,5.00,M,BR,M
GPZ,2019-02-24 00:00,-93.5097,47.2111,M,M,340.00,3.00,M,10.00,M,M,M
MML,2019-02-24 00:00,-95.8200,44.4500,M,M,M,18.00,M,1.75,M,-SN BR,M
RWF,2019-02-24 00:00,-95.0820,44.5469,M,M,330.00,13.00,M,1.25,18.00,-SN BR,M
FRM,2019-02-24 00:05,-94.4156,43.6439,M,M,360.00,17.00,M,0.25,M,+SN FZFG,M
MKT,2019-02-24 00:05,-93.9200,44.2200,M,M,10.00,13.00,M,2.00,M,BR,M
STC,2019-02-24 00:05,-94.0513,45.5433,M,M,350.00,5.00,M,5.00,M,BR,M
MIC,2019-02-24 00:05,-93.3539,45.0620,M,M,10.00,8.00,M,5.00,M,BR,M
STP,2019-02-24 00:05,-93.0600,44.9345,M,M,10.00,9.00,M,7.00,M,M,M
INL,2019-02-24 00:05,-93.3981,48.5614,M,M,0.00,0.00,M,10.00,M,M,M
MSP,2019-02-24 00:05,-93.2313,44.8854,M,M,20.00,11.00,M,6.00,M,HZ,M
OTG,2019-02-24 00:05,-95.5792,43.6551,M,M,350.00,18.00,M,0.75,M,-SN BR,M
AXN,2019-02-24 00:05,-95.3947,45.8663,M,M,330.00,7.00,M,5.00,M,HZ,M
RWF,2019-02-24 00:05,-95.0820,44.5469,M,M,330.00,9.00,M,1.25,M,-SN BR,M
FCM,2019-02-24 00:05,-93.4700,44.8300,M,M,20.00,7.00,M,5.00,M,BR,M
TVF,2019-02-24 00:05,-96.1850,48.0657,M,M,320.00,8.00,M,4.00,M,BR,M
RST,2019-02-24 00:05,-92.4916,43.9041,M,M,20.00,16.00,M,1.75,M,FZRA BR,M
PKD,2019-02-24 00:05,-95.0700,46.9000,M,M,320.00,6.00,M,5.00,M,BR,M
GPZ,2019-02-24 00:05,-93.5097,47.2111,M,M,0.00,0.00,M,10.00,M,M,M
BRD,2019-02-24 00:05,-94.1308,46.4047,M,M,10.00,4.00,M,6.00,M,HZ,M
BDE,2019-02-24 00:05,-94.6122,48.7284,M,M,330.00,5.00,M,10.00,M,M,M
DLH,2019-02-24 00:05,-92.1936,46.8421,M,M,60.00,10.00,M,4.00,M,BR,M
HIB,2019-02-24 00:05,-92.8390,47.3866,M,M,0.00,0.00,M,7.00,M,M,M
MML,2019-02-24 00:05,-95.8200,44.4500,M,M,M,19.00,M,1.75,M,-SN BR,M
EVM,2019-02-24 00:08,-92.4981,47.4251,-2.00,-3.00,0.00,0.00,M,10.00,M,M,M
COQ,2019-02-24 00:08,-92.5036,46.7011,-2.00,-3.00,90.00,3.00,M,3.00,M,-SN,M
MKT,2019-02-24 00:09,-93.9200,44.2200,-1.00,-2.00,10.00,12.00,M,2.00,M,BR,M
FRM,2019-02-24 00:10,-94.4156,43.6439,M,M,360.00,20.00,M,0.25,M,+SN FZFG,M
MIC,2019-02-24 00:10,-93.3539,45.0620,M,M,10.00,7.00,M,5.00,M,BR,M
MSP,2019-02-24 00:10,-93.2313,44.8854,M,M,20.00,10.00,M,6.00,M,HZ,M
OTG,2019-02-24 00:10,-95.5792,43.6551,M,M,350.00,20.00,M,0.75,M,-SN BR,M
AXN,2019-02-24 00:10,-95.3947,45.8663,M,M,340.00,8.00,M,6.00,M,HZ,M
PKD,2019-02-24 00:10,-95.0700,46.9000,M,M,330.00,6.00,M,6.00,M,BR,M
TVF,2019-02-24 00:10,-96.1850,48.0657,M,M,320.00,9.00,M,4.00,M,-SN BR,M
MML,2019-02-24 00:10,-95.8200,44.4500,M,M,M,19.00,M,1.75,M,-SN BR,M
MKT,2019-02-24 00:10,-93.9200,44.2200,M,M,10.00,13.00,M,2.00,M,BR,M
BRD,2019-02-24 00:10,-94.1308,46.4047,M,M,360.00,3.00,M,6.00,M,HZ,M
