station,valid,lon,lat,tmpc,dwpc,drct,sknt,mslp,vsby,gust,wxcodes,peak_wind_gust
GFK,2019-02-24 00:00,-97.1761,47.9492,M,M,290.00,9.00,M,10.00,M,M,M
HEI,2019-02-24 00:00,-102.6560,46.0149,M,M,310.00,16.00,M,10.00,M,M,M
BIS,2019-02-24 00:00,-100.7458,46.7727,M,M,310.00,18.00,M,10.00,M,M,M
FAR,2019-02-24 00:00,-96.8111,46.9253,M,M,310.00,8.00,M,4.00,M,BR,M
DIK,2019-02-24 00:00,-102.8019,46.7973,M,M,300.00,22.00,M,2.50,M,HZ,M
DVL,2019-02-24 00:00,-98.9083,48.1146,M,M,270.00,6.00,M,9.00,M,M,M
MIB,2019-02-24 00:02,-101.3580,48.4158,M,M,310.00,21.00,M,3.00,27.00,-DZ,M
JMS,2019-02-24 00:05,-98.6800,46.9300,M,M,290.00,6.00,M,10.00,M,M,M
HEI,2019-02-24 00:05,-102.6560,46.0149,M,M,310.00,16.00,M,10.00,M,M,M
BIS,2019-02-24 00:05,-100.7458,46.7727,M,M,310.00,15.00,M,10.00,20.00,M,M
MOT,2019-02-24 00:05,-101.2803,48.2594,M,M,290.00,18.00,M,6.00,M,HZ,M
FAR,2019-02-24 00:05,-96.8111,46.9253,M,M,310.00,8.00,M,4.00,M,BR,M
DIK,2019-02-24 00:05,-102.8019,46.7973,M,M,300.00,22.00,M,3.00,M,HZ,M
DVL,2019-02-24 00:05,-98.9083,48.1146,M,M,280.00,6.00,M,9.00,M,M,M
ISN,2019-02-24 00:05,-103.6366,48.1738,M,M,300.00,16.00,M,10.00,M,M,M
GFK,2019-02-24 00:05,-97.1761,47.9492,M,M,290.00,10.00,M,10.00,M,M,M
MIB,2019-02-24 00:05,-101.3580,48.4158,M,M,300.00,22.00,M,4.00,27.00,HZ,M
MIB,2019-02-24 00:06,-101.3580,48.4158,M,M,300.00,22.00,M,4.00,27.00,HZ,M
DIK,2019-02-24 00:08,-102.8019,46.7973,-12.22,-15.61,300.00,23.00,M,3.00,M,HZ,29.00
DVL,2019-02-24 00:10,-98.9083,48.1146,M,M,280.00,6.00,M,9.00,M,M,M
GFK,2019-02-24 00:10,-97.1761,47.9492,M,M,290.00,9.00,M,10.00,M,M,M
JMS,2019-02-24 00:10,-98.6800,46.9300,M,M,290.00,6.00,M,10.00,M,M,M
MOT,2019-02-24 00:10,-101.2803,48.2594,M,M,290.00,18.00,M,9.00,M,M,M
BIS,2019-02-24 00:10,-100.7458,46.7727,M,M,310.00,16.00,M,10.00,M,M,M
DIK,2019-02-24 00:10,-102.8019,46.7973,M,M,300.00,19.00,M,3.00,M,HZ,M
BWP,2019-02-24 00:10,-96.6074,46.2441,-9.00,-11.00,330.00,7.00,M,10.00,M,M,M
HEI,2019-02-24 00:10,-102.6560,46.0149,M,M,310.00,16.00,M,10.00,M,M,M
FAR,2019-02-24 00:10,-96.8111,46.9253,M,M,320.00,9.00,M,4.00,M,BR,M
MOT,2019-02-24 00:15,-101.2803,48.2594,M,M,280.00,17.00,M,10.00,M,M,M
DIK,2019-02-24 00:15,-102.8019,46.7973,M,M,300.00,22.00,M,3.50,M,HZ,M
ISN,2019-02-24 00:15,-103.6366,48.1738,M,M,300.00,17.00,M,10.00,M,M,M
FAR,2019-02-24 00:15,-96.8111,46.9253,M,M,320.00,8.00,M,5.00,M,BR,M
BIS,2019-02-24 00:15,-100.7458,46.7727,M,M,310.00,15.00,M,10.00,M,M,M
JMS,2019-02-24 00:15,-98.6800,46.9300,M,M,290.00,7.00,M,10.00,M,M,M
HEI,2019-02-24 00:15,-102.6560,46.0149,M,M,310.00,16.00,M,10.00,M,M,M
