station,valid,lon[unit="degrees_east"],lat[unit="degrees_north"],tmpc[unit="Celsius"],dwpc[unit="Celsius"],drct[unit="degrees"],sknt[unit="knots"],mslp[unit="hectoPascal"],vsby[unit="US_statute_mile"],gust[unit="knots"],wxcodes,gustmax[unit="knots"]
MHE,2019-02-24 19:35,-98.0386,43.7748,-13.28,-19.39,310.00,25.00,M,1.50,34.00,BLSN,34.00
ABR,2019-02-24 19:35,-98.4200,45.4500,M,M,310.00,16.00,M,7.00,21.00,M,M
HON,2019-02-24 19:35,-98.2286,44.3852,M,M,310.00,26.00,M,1.00,31.00,M,M
FSD,2019-02-24 19:35,-96.7536,43.5769,M,M,300.00,17.00,M,2.00,M,M,M
MBG,2019-02-24 19:35,-100.4078,45.5464,M,M,310.00,21.00,M,8.00,27.00,M,M
PHP,2019-02-24 19:35,-101.6000,44.0500,M,M,320.00,20.00,M,10.00,M,M,M
CUT,2019-02-24 19:35,-103.6114,43.7331,M,M,150.00,6.00,M,10.00,M,M,M
IEN,2019-02-24 19:35,-102.5110,43.0225,M,M,70.00,8.00,M,M,M,M,M
RAP,2019-02-24 19:35,-103.0574,44.0453,M,M,360.00,18.00,M,10.00,M,M,M
BKX,2019-02-24 19:35,-96.8169,44.3048,M,M,300.00,27.00,M,0.75,M,-SN,M
ICR,2019-02-24 19:35,-99.8422,43.3903,M,M,310.00,15.00,M,10.00,M,M,M
PIR,2019-02-24 19:35,-100.2860,44.3827,M,M,310.00,26.00,M,2.50,M,HZ,M
ATY,2019-02-24 19:35,-97.1547,44.9140,M,M,310.00,22.00,M,1.00,M,HZ,M
MDS,2019-02-24 19:35,-97.0859,44.0160,-15.00,-17.00,320.00,28.00,M,0.50,35.00,SN,M
9V9,2019-02-24 19:35,-99.3183,43.7667,-14.50,-18.50,320.00,26.00,M,1.50,30.00,HZ,M
SPF,2019-02-24 19:35,-103.7830,44.4803,-14.00,-21.00,320.00,8.00,M,10.00,M,M,M
FCM,2019-02-24 19:35,-93.4700,44.8300,M,M,290.00,20.00,M,10.00,29.00,M,M
MIC,2019-02-24 19:35,-93.3539,45.0620,M,M,280.00,24.00,M,10.00,30.00,M,M
PKD,2019-02-24 19:35,-95.0700,46.9000,M,M,300.00,22.00,M,2.00,27.00,UP,M
RWF,2019-02-24 19:35,-95.0820,44.5469,M,M,290.00,22.00,M,6.00,28.00,HZ,M
AXN,2019-02-24 19:35,-95.3947,45.8663,M,M,320.00,25.00,M,1.25,M,UP,M
LVN,2019-02-24 19:35,-93.2273,44.6252,-10.00,-13.00,290.00,33.00,M,0.75,39.00,HZ,M
OTG,2019-02-24 19:35,-95.5792,43.6551,M,M,290.00,21.00,M,1.50,M,BR,M
FRM,2019-02-24 19:35,-94.4156,43.6439,M,M,310.00,29.00,M,0.75,M,-SN,M
GPZ,2019-02-24 19:35,-93.5097,47.2111,M,M,300.00,25.00,M,1.75,M,-SN,M
MKT,2019-02-24 19:35,-93.9200,44.2200,M,M,300.00,26.00,M,0.75,M,-SN,M
STC,2019-02-24 19:35,-94.0513,45.5433,M,M,310.00,26.00,M,1.25,31.00,UP,M
RST,2019-02-24 19:35,-92.4916,43.9041,M,M,290.00,29.00,M,0.25,35.00,FZFG,M
DLH,2019-02-24 19:35,-92.1936,46.8421,M,M,300.00,28.00,M,3.00,40.00,M,M
TVF,2019-02-24 19:35,-96.1850,48.0657,M,M,320.00,31.00,M,0.25,M,+SN,M
MML,2019-02-24 19:35,-95.8200,44.4500,M,M,M,32.00,M,1.25,M,-SN,M
D39,2019-02-24 19:35,-94.9334,45.7066,-14.61,-18.72,300.00,27.00,M,1.00,34.00,HZ,M
Y49,2019-02-24 19:35,-94.6453,47.1595,-16.28,-21.61,310.00,23.00,M,3.00,34.00,HZ,M
21D,2019-02-24 19:35,-92.8557,44.9975,-8.00,-13.00,290.00,25.00,M,1.50,35.00,HZ,M
AEL,2019-02-24 19:35,-93.3672,43.6815,-11.00,-12.00,290.00,20.00,M,0.75,29.00,-SN,M
VWU,2019-02-24 19:35,-94.5167,48.1539,-14.00,-18.00,280.00,17.00,M,5.00,25.00,HZ,M
CFE,2019-02-24 19:35,-93.8433,45.1590,-11.00,-16.22,M,M,M,0.75,M,HZ,M
MJQ,2019-02-24 19:35,-94.9865,43.6500,-12.00,-16.00,290.00,23.00,M,2.00,35.00,HZ,M
BFW,2019-02-24 19:35,-91.4098,47.2521,-8.00,-14.00,300.00,9.00,M,3.00,30.00,HZ,M
DXX,2019-02-24 19:35,-96.1779,44.9864,-12.00,-15.00,310.00,24.00,M,0.75,32.00,HZ,M
BRD,2019-02-24 19:35,-94.1308,46.4047,M,M,280.00,20.00,M,4.00,M,HZ,M
BDE,2019-02-24 19:35,-94.6122,48.7284,M,M,310.00,25.00,M,1.00,31.00,M,M
MSP,2019-02-24 19:35,-93.2313,44.8854,M,M,300.00,21.00,M,6.00,30.00,M,M
STP,2019-02-24 19:35,-93.0600,44.9345,M,M,290.00,23.00,M,10.00,28.00,M,M
INL,2019-02-24 19:35,-93.3981,48.5614,M,M,290.00,23.00,M,2.50,M,UP,M
ONA,2019-02-24 19:35,-91.7083,44.0772,-7.00,-11.00,300.00,22.00,M,4.00,30.00,-SN,M
LJF,2019-02-24 19:35,-94.5072,45.0971,-13.00,-17.00,300.00,20.00,M,3.00,27.00,HZ,M
BBB,2019-02-24 19:35,-95.6506,45.3319,-14.00,-18.00,350.00,32.00,M,0.50,38.00,-SN,M
MGG,2019-02-24 19:35,-93.9856,45.2360,-10.72,-15.39,290.00,18.00,M,2.50,31.00,HZ,M
JKJ,2019-02-24 19:35,-96.6640,46.8393,-17.00,-21.00,320.00,22.00,M,1.75,28.00,HZ,M
BJI,2019-02-24 19:35,-94.9337,47.5094,-17.61,-21.22,310.00,22.00,M,0.50,30.00,-SN,M
3N8,2019-02-24 19:35,-95.9281,47.2605,-18.11,-21.22,320.00,21.00,M,0.75,27.00,HZ,M
MOX,2019-02-24 19:35,-95.9672,45.5660,-14.00,-17.00,320.00,32.00,M,0.25,39.00,M,M
9MN,2019-02-24 19:35,-92.4831,44.0198,-10.39,-12.50,270.00,23.00,M,5.00,39.00,M,M
GHW,2019-02-24 19:35,-95.3204,45.6439,-15.00,-18.00,300.00,29.00,M,0.75,34.00,HZ,M
PWC,2019-02-24 19:35,-94.3817,46.7248,-14.00,-21.00,300.00,15.00,M,7.00,22.00,M,M
ADC,2019-02-24 19:35,-95.2109,46.4503,-17.00,-21.00,300.00,24.00,M,2.00,31.00,HZ,M
TKC,2019-02-24 19:35,-95.6072,44.2491,-12.78,-15.50,310.00,26.00,M,0.50,30.00,-SN,M
LYV,2019-02-24 19:35,-96.2158,43.6212,-13.00,-17.00,300.00,26.00,M,0.50,31.00,HZ,M
DTL,2019-02-24 19:35,-95.8856,46.8252,-16.00,-20.00,320.00,27.00,M,1.00,35.00,HZ,M
CKC,2019-02-24 19:35,-90.3829,47.8383,-9.00,-13.00,300.00,17.00,M,0.50,29.00,-SN,M
04W,2019-02-24 19:35,-92.8952,46.0229,-8.00,-15.00,280.00,15.00,M,4.00,25.00,HZ,M
SYN,2019-02-24 19:35,-93.0163,44.4755,-9.72,-13.61,280.00,24.00,M,0.75,36.00,-SN,M
HCD,2019-02-24 19:35,-94.3825,44.8599,-12.61,-16.00,290.00,25.00,M,0.25,36.00,+SN,M
ULM,2019-02-24 19:35,-94.5000,44.3200,-12.00,-17.00,300.00,26.00,M,1.50,36.00,-SN,M
GDB,2019-02-24 19:35,-95.5560,44.7533,-11.50,-14.72,290.00,24.00,M,1.00,33.00,HZ,M
SGS,2019-02-24 19:35,-93.0329,44.8571,-8.00,-14.11,300.00,17.00,M,4.00,27.00,HZ,M
CKN,2019-02-24 19:35,-96.6214,47.8417,-18.00,-21.00,340.00,25.00,M,0.50,32.00,HZ,M
TOB,2019-02-24 19:35,-92.8315,44.0180,-12.00,-15.00,280.00,25.00,M,0.50,36.00,-SN,M
CQM,2019-02-24 19:35,-92.6894,47.8219,-13.00,-17.00,280.00,23.00,M,1.25,30.00,HZ,M
TWM,2019-02-24 19:35,-91.7450,47.0492,-9.00,-16.00,280.00,13.00,M,5.00,21.00,HZ,M
FFM,2019-02-24 19:35,-96.1567,46.2844,-16.00,-19.00,330.00,25.00,M,2.00,30.00,HZ,M
DYT,2019-02-24 19:35,-92.0434,46.7219,-8.00,-12.00,280.00,31.00,M,1.25,36.00,HZ,M
HZX,2019-02-24 19:35,-93.3098,46.6188,-11.00,-17.00,310.00,18.00,M,4.00,26.00,M,M
MWM,2019-02-24 19:35,-95.1094,43.9134,-13.00,-16.00,280.00,25.00,M,0.75,34.00,HZ,M
MZH,2019-02-24 19:35,-92.8048,46.4186,-8.00,-16.00,300.00,16.00,M,4.00,29.00,HZ,M
BDH,2019-02-24 19:35,-95.1304,45.1177,-14.00,-17.00,310.00,30.00,M,0.50,41.00,M,M
VVV,2019-02-24 19:35,-96.4244,45.3057,-13.00,-18.00,310.00,23.00,M,2.00,33.00,HZ,M
Y63,2019-02-24 19:35,-95.9920,45.9861,-15.78,-18.61,290.00,30.00,M,0.50,36.00,HZ,M
RGK,2019-02-24 19:35,-92.4868,44.5915,-8.00,-15.00,290.00,23.00,M,1.00,33.00,HZ,M
JMR,2019-02-24 19:35,-93.2718,45.8861,-8.00,-16.00,290.00,13.00,M,1.00,23.00,HZ,M
HCO,2019-02-24 19:35,-96.9430,48.7527,-18.00,-22.00,330.00,23.00,M,0.75,31.00,HZ,M
SAZ,2019-02-24 19:35,-94.8066,46.3809,-16.00,-21.00,300.00,17.00,M,4.00,22.00,HZ,M
RRT,2019-02-24 19:35,-95.3483,48.9414,-17.00,-22.00,300.00,23.00,M,0.25,30.00,HZ,M
PNM,2019-02-24 19:35,-93.6082,45.5599,-11.00,-16.00,270.00,24.00,M,0.75,31.00,HZ,M
MVE,2019-02-24 19:35,-95.7103,44.9691,-13.00,-18.00,350.00,25.00,M,1.75,37.00,HZ,M
AIT,2019-02-24 19:35,-93.6768,46.5484,-12.00,-19.00,290.00,11.00,M,5.00,20.00,HZ,M
FGN,2019-02-24 19:35,-94.9028,49.3183,-17.00,-21.00,320.00,27.00,M,0.50,32.00,-SN,M
PQN,2019-02-24 19:35,-96.3004,43.9821,-14.00,-17.00,320.00,25.00,M,1.00,30.00,HZ,M
ELO,2019-02-24 19:35,-91.8371,47.8287,-12.00,-17.00,290.00,26.00,M,1.00,37.00,-SN,M
CBG,2019-02-24 19:35,-93.2642,45.5575,-9.00,-16.00,280.00,16.00,M,2.50,27.00,HZ,M
GYL,2019-02-24 19:35,-94.0812,44.7560,-11.00,-14.72,280.00,20.00,M,1.00,34.00,HZ,M
